S1wantcurse	S1WantScold	S1WantShout	S2wantcurse	S2WantScold	S2WantShout	S3wantcurse	S3WantScold	S3WantShout	S4wantcurse	S4WantScold	S4WantShout	S1Docurse	S1DoScold	S1DoShout	S2Docurse	S2DoScold	S2DoShout	S3Docurse	S3DoScold	S3DoShout	S4Docurse	S4DoScold	S4DoShout	Anger	Geslacht
1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0
0	0	1	0	0	0	0	0	0	1	0	0	2	0	0	1	0	0	1	0	0	1	1	0	16	0
0	1	0	1	1	0	1	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	23	0
2	1	2	1	1	2	2	1	0	2	1	2	1	1	1	1	2	0	0	0	0	1	1	0	19	0
2	2	2	2	2	2	2	0	0	1	1	2	2	2	1	2	0	0	1	2	0	2	2	2	22	0
0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0
0	0	0	0	0	1	0	0	0	1	0	1	2	1	1	0	0	0	0	1	0	1	1	0	25	0
2	0	2	2	2	2	0	0	0	0	0	0	2	2	1	2	2	0	1	0	0	2	0	0	35	0
0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	2	1	1	24	0
0	0	2	1	0	1	1	0	0	1	1	2	2	2	0	0	1	1	0	1	0	1	2	2	24	0
1	1	2	2	0	2	1	1	1	1	1	0	1	2	2	2	0	0	1	1	1	1	1	0	13	0
1	1	1	1	2	1	0	0	0	0	0	0	2	0	0	2	1	0	1	0	0	2	0	0	26	0
0	0	0	0	0	2	0	0	1	0	0	0	2	0	2	2	0	0	2	1	0	2	0	0	25	0
2	1	2	1	1	2	2	1	2	1	0	2	1	1	1	1	1	1	2	1	1	1	1	1	20	0
2	0	2	2	0	2	0	0	0	1	1	0	2	2	2	2	2	2	1	0	0	0	1	0	27	0
1	0	1	1	0	1	1	0	1	1	1	1	1	1	0	1	1	1	0	1	1	1	1	1	19	0
0	0	2	1	0	0	0	0	0	0	0	0	1	0	1	1	1	0	0	0	0	0	0	0	15	1
0	0	2	0	0	2	0	0	1	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	18	0
2	2	2	2	2	2	2	2	2	2	0	1	2	2	2	2	2	2	0	0	2	0	0	0	26	0
2	2	2	1	1	1	1	1	1	1	1	1	2	2	2	1	1	1	0	1	0	1	1	0	26	0
1	1	2	1	1	1	1	0	1	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	23	0
1	0	1	2	1	1	0	0	1	1	1	1	0	2	0	0	1	1	0	0	1	1	1	1	20	0
2	0	2	2	0	2	2	0	0	1	0	1	2	0	0	2	0	0	1	0	0	0	0	0	18	0
0	0	2	0	0	0	0	0	0	0	1	0	2	0	0	1	0	0	1	0	0	2	1	0	30	0
2	0	2	0	0	2	2	0	1	0	0	1	2	0	2	2	0	0	1	0	0	1	0	0	24	0
2	2	2	2	2	2	1	1	2	2	2	2	2	2	2	1	1	1	2	1	1	1	1	1	22	0
1	0	0	1	1	0	1	0	0	1	0	1	0	2	0	2	2	0	0	0	0	1	2	0	19	0
1	0	2	1	0	2	1	1	1	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	13	0
0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	1	0	0	0	17	0
2	0	0	2	0	2	0	0	0	2	2	2	0	1	1	1	2	1	0	0	0	0	2	2	29	0
0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0
1	1	1	1	1	1	1	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	19	0
0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	23	0
1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	11	0
0	0	0	2	0	1	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	18	0
1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	22	0
1	0	0	2	0	1	2	0	0	2	0	1	0	0	0	0	1	1	0	0	0	0	0	0	22	1
2	0	0	2	0	0	0	0	0	1	0	0	2	2	0	2	0	0	1	1	0	1	1	0	19	1
2	1	0	0	0	0	0	0	0	2	1	0	0	1	0	0	0	0	0	0	0	0	0	0	19	1
2	2	1	2	2	0	1	1	0	2	1	0	1	1	1	1	1	0	1	1	0	1	1	0	21	0
1	0	0	2	0	0	0	2	0	2	0	0	1	0	0	1	1	0	1	1	0	0	1	0	25	0
2	0	1	1	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	19	0
1	2	0	1	1	0	0	0	0	1	1	1	1	1	1	0	1	1	0	0	0	1	1	1	26	0
0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0
2	2	1	2	1	1	2	1	1	1	1	0	1	1	1	0	0	0	1	1	0	1	1	0	20	0
2	1	1	2	1	0	1	0	0	2	2	1	1	1	0	1	0	0	0	0	0	1	2	1	17	0
1	0	0	2	0	0	1	0	0	2	0	0	1	0	0	2	0	0	1	0	0	2	1	0	17	1
2	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0
1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	16	0
2	2	0	1	0	0	1	1	0	2	1	0	2	2	0	1	1	0	0	0	0	1	1	0	19	1
2	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	1
1	1	2	2	1	2	0	0	0	1	1	0	2	1	1	2	1	1	1	0	0	1	1	0	22	0
1	1	0	1	1	0	1	0	0	2	1	0	2	1	0	1	1	0	1	0	0	1	1	0	18	0
0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0
1	2	1	1	0	0	0	0	0	2	2	1	1	1	1	1	0	0	0	0	0	1	1	1	23	0
0	0	0	2	2	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	15	0
1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	18	0
2	2	0	1	1	0	2	0	0	2	2	0	2	0	0	1	1	0	1	0	0	1	1	0	27	0
0	1	0	0	1	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	21	0
0	2	0	0	2	0	2	1	0	2	2	0	2	2	0	2	2	0	1	1	0	2	2	0	21	0
2	2	0	2	2	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	15	0
2	2	1	2	1	1	1	1	1	2	1	1	1	1	0	1	1	0	0	0	0	2	2	1	17	0
1	0	0	1	0	0	1	0	0	2	0	1	1	0	0	1	0	0	0	0	0	1	0	1	15	0
0	0	0	2	0	0	2	0	0	1	0	0	1	0	2	1	0	0	0	0	0	0	0	0	23	0
1	1	1	2	1	2	1	1	1	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	23	0
0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	19	0
1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0
2	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	18	0
2	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0
2	2	0	2	2	0	2	2	0	1	1	1	0	0	0	1	0	0	1	1	0	1	0	0	16	0
2	0	0	1	1	0	1	1	0	2	1	0	1	1	0	1	0	0	0	0	0	2	1	0	20	0
2	2	2	2	2	2	2	2	1	2	1	2	2	2	2	2	1	0	2	0	0	2	2	1	24	0
2	2	1	2	2	1	2	1	0	1	0	0	2	2	0	2	1	1	2	0	0	0	0	0	26	0
2	2	1	1	1	1	1	1	1	1	0	1	2	0	0	2	0	0	1	0	0	1	0	0	20	0
2	2	2	2	2	2	1	0	0	1	0	0	1	1	0	1	1	0	0	0	0	0	0	0	22	0
0	0	0	0	2	0	0	2	0	0	2	0	0	2	0	0	2	0	0	0	0	0	0	0	16	1
0	0	2	1	0	1	2	0	1	2	2	1	2	0	0	1	0	0	1	0	1	1	1	1	18	1
1	1	0	2	2	0	1	0	0	1	0	0	1	1	0	1	0	0	1	0	0	1	1	0	19	0
2	2	1	2	2	1	1	0	0	2	0	0	1	1	1	1	0	0	1	0	0	2	0	0	25	0
2	0	0	2	0	0	0	0	0	2	0	0	2	0	0	1	0	0	0	0	0	1	0	0	22	0
2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	23	1
1	1	0	1	1	0	2	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	1	0	21	0
2	0	2	2	0	2	1	0	0	2	0	0	2	0	1	2	0	1	1	0	0	2	0	0	13	0
2	1	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	1	0	16	0
2	1	0	2	1	1	1	0	0	2	1	0	0	0	0	1	0	0	0	0	0	1	1	0	21	0
1	1	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0
2	2	0	2	2	0	2	2	0	1	1	0	2	2	0	2	2	0	1	2	0	1	1	0	23	0
2	1	1	2	2	1	1	0	0	2	1	0	0	0	1	1	2	1	0	0	0	1	1	1	17	0
1	1	1	2	2	2	1	1	1	2	0	0	1	1	1	2	2	2	1	1	1	1	0	0	14	0
0	0	0	2	2	0	1	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	29	0
0	0	0	2	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	24	0
2	2	1	2	2	0	1	1	0	2	1	0	1	1	0	1	1	0	0	0	0	1	1	0	15	0
0	0	0	1	0	0	0	0	0	2	0	1	1	0	0	0	0	0	0	0	0	2	0	0	25	0
0	0	0	2	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0
0	2	0	0	0	1	2	0	0	2	0	0	1	1	1	2	0	0	2	1	0	2	1	0	17	1
1	1	0	1	1	0	2	1	0	2	0	1	1	1	0	1	1	0	2	1	0	2	0	0	28	1
0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	15	0
2	1	0	2	2	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0
2	2	0	2	2	0	2	0	0	2	2	0	2	2	1	2	2	1	2	0	0	2	2	1	26	0
2	1	1	1	2	2	0	0	1	2	2	0	2	0	1	2	0	1	0	0	0	2	2	0	18	0
2	2	0	1	1	0	0	0	0	2	2	0	2	1	0	0	1	0	1	0	0	2	2	0	11	0
2	2	1	2	2	2	2	2	1	2	2	1	2	2	2	2	2	1	1	1	1	2	1	1	25	0
2	0	0	2	2	1	2	0	0	2	1	0	2	0	0	1	0	0	2	0	0	1	0	0	28	0
2	2	0	1	0	0	1	0	0	2	0	0	2	2	0	1	0	0	1	0	0	2	0	0	25	0
0	1	1	2	1	2	0	0	0	1	1	0	1	0	1	1	1	2	0	0	0	1	1	0	14	0
2	2	0	2	1	0	0	0	0	2	0	0	2	2	0	2	0	0	0	0	0	2	1	0	17	0
0	1	0	0	0	0	0	0	0	2	0	0	1	0	2	0	0	0	0	0	0	1	0	0	18	0
1	1	1	1	1	1	1	0	0	2	1	1	1	1	1	0	1	1	0	1	0	1	1	0	22	1
2	2	1	1	1	1	0	0	0	1	1	0	2	2	1	1	1	1	1	0	0	0	1	0	17	0
2	2	0	2	2	0	1	1	0	1	1	0	2	2	0	2	2	0	0	0	0	2	1	0	15	1
1	1	0	2	1	1	1	1	0	2	0	0	1	1	0	2	1	1	1	1	0	2	0	1	16	1
1	2	1	1	1	0	1	2	2	1	0	0	0	2	1	0	1	1	1	0	1	2	2	1	22	1
1	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0
2	0	0	2	2	0	1	0	0	1	0	0	2	0	0	2	1	0	0	0	0	0	0	0	19	0
2	2	0	2	0	0	2	2	0	2	2	0	2	2	0	2	2	0	2	2	0	2	2	0	21	0
0	1	1	0	1	1	0	0	0	0	0	0	1	0	0	1	0	0	2	0	0	1	0	0	16	0
2	2	2	2	1	2	1	1	0	1	1	1	2	2	1	1	1	1	0	0	0	1	1	0	17	0
1	1	1	1	1	1	0	0	0	1	1	1	2	1	1	2	0	0	1	0	0	1	1	1	15	1
1	0	0	0	0	0	2	2	1	0	0	0	1	0	0	1	0	0	2	0	0	1	0	0	27	1
2	1	0	2	2	2	2	0	1	2	2	0	2	0	0	2	0	0	2	0	0	2	0	0	21	1
1	1	1	0	1	0	1	1	1	2	0	0	2	0	0	1	0	0	1	0	0	2	0	0	19	0
2	2	0	2	2	0	2	0	0	2	2	0	0	0	0	0	0	0	0	0	0	1	1	0	17	0
1	1	0	2	2	1	2	0	0	1	2	0	2	2	0	0	0	0	2	0	0	2	1	1	21	0
1	1	0	2	1	0	0	0	0	1	1	0	2	2	0	2	2	0	0	0	0	2	1	0	24	1
2	0	0	2	1	1	0	0	0	2	0	0	2	0	0	2	1	0	2	0	0	2	0	0	20	0
2	2	1	2	2	0	0	0	0	0	2	0	2	1	0	2	1	0	0	0	0	2	1	0	16	1
1	0	0	1	1	0	0	0	0	1	1	0	1	0	0	1	0	0	1	0	0	1	0	0	14	0
1	0	0	1	1	1	1	0	0	1	1	1	0	0	0	0	0	0	0	0	0	1	0	0	14	0
1	0	0	1	1	0	2	1	2	1	2	0	1	1	1	1	1	0	2	0	1	1	0	0	20	1
0	2	0	2	2	0	0	0	0	1	2	0	1	0	0	2	1	0	0	0	0	1	0	0	23	0
0	0	1	0	0	2	2	0	0	1	0	2	0	0	0	2	0	1	1	0	0	2	0	0	23	1
1	1	1	1	1	2	1	0	0	0	0	0	2	1	1	2	0	1	0	0	1	1	0	0	23	0
2	0	1	2	2	2	2	1	0	2	1	1	2	1	0	2	2	0	1	0	0	1	0	0	23	0
1	1	1	2	2	2	2	1	2	1	1	1	2	2	1	2	2	1	2	1	1	1	1	0	18	1
0	0	2	0	0	1	0	0	1	2	2	1	2	0	0	2	0	0	0	0	0	1	0	0	22	0
0	0	1	1	0	2	0	1	1	1	0	2	1	0	2	2	0	2	1	0	0	1	0	1	20	0
2	2	0	2	2	2	1	1	0	2	1	2	0	1	1	2	2	1	0	0	0	1	0	0	23	0
0	0	1	2	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	16	1
2	0	0	2	0	0	1	0	0	2	2	0	2	0	0	2	0	0	0	0	0	2	2	0	18	0
1	1	0	1	1	0	1	0	0	1	1	0	1	1	0	1	0	0	1	0	0	1	1	0	12	0
2	2	0	1	1	0	1	0	0	1	0	1	2	2	0	2	1	0	0	0	0	2	0	1	17	0
0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	2	0	0	1	0	0	21	0
0	0	0	1	2	1	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	1	0	21	0
0	1	0	1	1	1	0	0	0	1	2	0	1	1	0	2	2	0	0	0	0	1	1	1	16	0
0	1	0	1	1	1	0	0	0	1	1	0	2	1	0	2	1	0	2	0	0	1	1	0	19	1
1	1	0	1	1	0	0	0	0	1	1	0	1	1	0	2	1	0	1	0	0	1	1	0	19	1
2	0	0	2	0	0	1	0	0	1	0	0	2	0	0	2	0	0	0	0	0	2	0	0	13	1
0	0	0	0	0	0	2	0	0	0	0	0	0	0	2	2	0	0	0	0	0	2	0	0	31	1
1	0	0	2	2	1	0	0	0	2	2	0	1	0	0	2	2	0	0	0	0	1	1	0	23	0
2	2	2	2	2	2	0	0	0	0	0	0	2	2	2	2	2	2	0	0	0	1	1	0	25	0
1	1	1	1	1	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	19	0
2	1	2	2	2	2	2	2	2	1	1	1	2	2	1	2	2	1	1	1	1	1	1	1	11	0
0	0	2	0	0	0	0	0	0	0	0	2	2	2	0	1	1	0	0	0	0	2	2	0	28	0
0	0	0	2	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	1	0	27	0
0	0	0	0	0	0	0	0	0	1	1	0	2	2	0	0	2	0	0	2	0	1	1	0	16	1
0	0	0	2	2	0	0	0	0	0	1	0	2	1	0	1	2	0	0	2	0	0	0	0	16	1
0	0	2	0	0	1	0	0	1	0	0	2	1	2	0	2	1	0	1	0	0	1	0	0	16	0
2	2	1	1	1	1	1	1	1	1	1	2	1	1	1	0	0	0	0	0	0	1	1	1	13	0
2	2	2	0	2	0	2	0	0	1	1	0	2	2	2	1	2	0	0	0	0	1	1	0	21	1
2	2	1	2	2	0	2	2	0	1	1	0	2	2	1	2	2	0	2	1	0	2	1	0	19	1
2	0	0	2	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0	20	0
0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	2	1	0	0	0	0	2	1	0	13	1
1	1	0	2	2	0	1	0	0	2	0	0	1	0	0	1	1	0	1	0	0	1	0	0	15	1
2	2	1	0	1	0	1	1	0	0	0	0	2	2	1	1	1	0	1	1	0	0	0	0	14	0
0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	15	0
2	2	2	2	2	1	2	2	0	2	2	1	2	2	1	2	2	2	1	1	0	2	2	0	23	1
1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	2	1	0	13	1
1	1	0	2	1	1	0	1	0	1	1	1	1	2	0	1	1	0	0	0	0	1	1	1	21	1
2	2	1	2	2	1	0	1	0	1	2	1	1	1	1	1	1	1	1	0	1	1	1	1	19	0
1	1	1	2	0	1	0	0	0	0	2	1	0	1	1	2	2	0	1	0	0	1	2	0	23	0
0	0	0	0	0	0	0	0	0	0	1	0	2	2	0	2	2	0	1	0	0	1	1	0	20	1
1	1	1	1	1	1	0	0	0	0	1	0	2	1	1	1	1	1	1	1	0	1	0	0	19	1
2	1	0	2	0	0	0	0	0	0	0	0	2	1	0	1	0	0	0	0	0	0	0	0	14	0
1	1	1	2	2	1	2	2	0	0	0	0	1	1	0	1	1	0	1	1	0	1	1	0	18	1
2	2	1	1	2	1	2	2	0	1	1	1	0	0	0	2	1	0	1	1	0	1	0	0	22	1
1	0	2	1	1	1	0	1	1	1	1	1	1	1	1	2	1	1	1	1	0	1	1	1	23	1
2	2	1	2	2	2	1	1	0	2	2	0	2	2	2	2	1	2	1	0	0	2	2	0	24	1
1	1	1	2	1	2	1	1	1	2	2	2	1	1	1	2	2	1	0	0	0	2	2	1	20	0
2	2	1	2	2	1	1	1	0	2	2	1	1	1	0	2	2	1	1	1	0	2	2	1	22	0
1	1	0	2	2	0	2	0	0	1	1	0	1	1	0	2	0	0	0	0	0	1	0	0	19	0
1	0	0	1	2	0	1	1	0	1	0	0	2	2	1	0	0	0	0	0	0	0	0	0	19	0
0	2	1	0	2	0	0	0	2	2	0	0	2	2	0	2	2	0	2	2	0	2	2	0	11	1
0	0	1	2	2	2	0	0	0	1	0	0	0	0	0	2	2	2	2	0	0	1	1	0	26	0
0	2	2	1	2	2	0	0	0	1	2	1	1	1	1	2	2	2	0	0	0	1	0	0	19	0
2	2	1	2	2	0	1	0	0	2	0	0	2	2	1	2	2	0	1	0	0	1	0	0	11	1
0	0	0	1	1	0	1	0	0	1	1	1	1	1	0	1	1	0	0	0	0	1	1	0	13	0
1	1	0	1	1	1	1	1	0	1	0	1	1	1	0	1	0	0	1	0	0	1	0	1	19	0
2	1	1	2	1	1	1	1	1	1	0	1	1	0	0	2	0	0	2	0	0	1	0	0	17	0
0	0	1	0	0	1	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	16	1
2	2	2	2	2	1	1	1	0	1	1	0	1	1	1	0	0	0	1	1	0	1	1	0	18	0
2	1	1	2	1	1	1	1	0	2	1	0	2	1	1	2	0	1	0	0	0	2	1	0	27	1
1	1	1	2	2	2	1	2	0	1	1	0	1	1	0	2	2	1	1	1	0	1	0	0	18	0
0	2	0	2	0	0	0	0	0	1	0	0	1	0	0	0	2	0	0	0	0	1	0	0	17	0
2	2	0	2	2	0	1	0	0	0	0	0	2	1	0	1	0	0	0	0	0	0	0	0	20	0
1	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0
0	1	0	1	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	14	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0
2	1	1	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	18	0
2	2	1	2	1	1	1	1	1	2	1	0	2	1	1	1	1	1	1	1	0	0	0	0	15	0
1	1	1	1	2	1	1	1	1	1	1	0	2	1	0	0	1	0	0	0	0	0	1	0	18	0
2	2	1	2	2	2	0	0	0	2	2	2	2	2	2	2	2	0	0	0	0	2	2	0	27	0
0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0
2	2	2	1	1	0	0	0	0	0	0	0	2	2	0	1	1	1	0	0	0	0	0	0	18	0
0	0	0	2	2	2	1	1	1	0	0	0	2	2	0	2	2	2	0	1	1	2	2	0	30	1
2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0
1	2	2	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	22	1
2	2	2	2	1	1	0	1	0	1	0	0	2	2	2	1	0	0	2	1	0	0	0	0	19	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0
2	2	2	2	2	2	2	1	0	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	34	0
1	2	2	1	1	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	19	0
2	0	0	2	2	0	1	1	0	2	1	0	1	0	0	2	1	0	1	0	0	1	0	0	23	1
0	0	1	2	1	1	1	0	0	1	1	1	0	0	0	1	1	0	0	0	0	1	1	0	21	0
1	1	0	2	2	1	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	18	0
1	1	2	1	2	0	1	1	0	1	1	0	2	2	1	0	2	1	1	0	0	0	0	0	18	0
1	0	0	2	1	1	1	1	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	15	1
2	2	1	2	1	2	2	1	0	2	1	1	2	2	1	2	1	1	1	0	0	2	1	1	21	1
0	2	2	2	1	1	1	1	2	2	2	1	2	2	2	2	2	2	1	1	0	2	2	2	26	0
2	2	2	1	2	2	0	0	0	1	1	1	0	0	0	2	2	2	0	0	0	1	1	1	19	0
2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	34	0
